Tura,Godzina,Mecz,Wynik,Data
2,12:44,Sztorm Szczecin - Koguty Zabrze,3:1,2026-06-02 18:48:47
1,12:40,Gwiazda Kraków - Sztorm Szczecin,1:0,2026-06-02 18:48:47
30,12:35,Sztorm Szczecin - Biała Białystok,1:0,2026-06-02 18:48:47
29,12:31,Zieloni Radom - Sztorm Szczecin,3:0,2026-06-02 18:48:47
28,12:27,Sztorm Szczecin - Żyleta W-wa,1:2,2026-06-02 18:48:47
28,14:27,Sztorm Szczecin - Żyleta W-wa,1:2,2026-06-02 18:32:58
27,14:24,Gwiazda Kraków - Sztorm Szczecin,1:0,2026-06-02 18:32:58
26,14:20,Sztorm Szczecin - Pasy Kraków,0:0,2026-06-02 18:32:58
25,14:16,Wojsko Wrocław - Sztorm Szczecin,3:1,2026-06-02 18:32:58
24,14:13,Sztorm Szczecin - Niebiescy Opole,1:0,2026-06-02 18:32:58
